Catalog #,Class 2,Class 3,Class 4,Obj Des Details:Obj Name,Material,Common Name,Quantity,Collector,Locality,Ctry-Cont-Ocean,State-Prov-Sea,Cty-Bay-Parish,St Site No,Site Info:Site Name,Map Qd-Scl:Map-Quad,Remarks
000067727.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,white-tailed deer,1.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,
000067728.0000,PREHISTORIC,ANIMAL,BONE,tibia,bone,white-tailed deer,1.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,tibia fragment- distal end; left side
000067729.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,1.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,from 50 liters; water screened
000067730.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,10.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,burned
000067731.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,3.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,calcined
000067732.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,9.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,calcined
000067733.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,1.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,cf. turtle
000067734.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,2.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,burned; indeterminate
000067735.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,2.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,indeterminate
000067736.0000,PREHISTORIC,ANIMAL,BONE,unidentified,tooth,white-tailed deer,2.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,
000067737.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,20.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,burned
